City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ostrovnoy,68.0531,39.5131,-10.33,95,100,6.69,RU,1611639014
Mahébourg,-20.4081,57.7,28.0,69,20,1.54,MU,1611639015
Qaanaaq,77.484,-69.3632,-16.39,65,0,3.56,GL,1611639017
Zhuhai,22.2769,113.5678,26.11,73,20,2.57,CN,1611639003
Cape Town,-33.9258,18.4232,21.11,88,20,6.17,ZA,1611638909
Atuona,-9.8,-139.0333,26.06,75,36,8.3,PF,1611639020
Flinders,-34.5833,150.8552,29.44,61,83,4.02,AU,1611639021
Opuwo,-18.0607,13.84,19.97,72,26,1.22,NA,1611639010
Tiksi,71.6872,128.8694,-38.09,82,99,1.9,RU,1611639024
Pushkinskiye Gory,57.0209,28.9103,2.59,95,100,4.03,RU,1611639025
Aykhal,66.0,111.5,-37.28,79,15,0.98,RU,1611639026
Castro,-24.7911,-50.0119,16.98,95,100,1.52,BR,1611639027
Avarua,-21.2078,-159.775,28.0,78,20,5.66,CK,1611639028
Saskylakh,71.9167,114.0833,-35.88,82,43,1.78,RU,1611639029
Constitución,-35.3333,-72.4167,13.31,57,0,2.79,CL,1611639030
Albany,42.6001,-73.9662,-5.0,64,80,0.61,US,1611639032
Vilyuysk,63.7553,121.6247,-43.57,77,54,1.29,RU,1611639033
Ushuaia,-54.8,-68.3,6.0,65,40,7.2,AR,1611639009
Bambous Virieux,-20.3428,57.7575,28.89,69,20,1.54,MU,1611639035
Kodinsk,58.6881,99.1844,-34.5,78,74,0.67,RU,1611639036
Teknāf,20.8624,92.3058,27.82,31,0,5.95,BD,1611639038
Busselton,-33.65,115.3333,26.11,41,16,0.45,AU,1611639039
Ambon City,-3.6954,128.1814,30.0,66,40,3.6,ID,1611639040
Maragogi,-9.0122,-35.2225,25.0,84,100,5.07,BR,1611639041
Fallon,39.4735,-118.7774,-2.0,86,90,2.57,US,1611639042
Kantang,7.4054,99.5156,32.0,55,20,6.17,TH,1611639043
Colonelganj,27.1333,81.7,19.34,40,0,1.9,IN,1611639044
Punta Arenas,-53.15,-70.9167,5.0,81,75,11.83,CL,1611639046
Rikitea,-23.1203,-134.9692,26.63,68,0,5.69,PF,1611639047
New Norfolk,-42.7826,147.0587,19.44,43,56,3.58,AU,1611639048
Gobabis,-22.45,18.9667,21.87,67,100,4.24,NA,1611639010
Qingdao,36.0986,120.3719,7.78,65,8,4.0,CN,1611638833
Port Hardy,50.6996,-127.4199,4.0,93,40,2.06,CA,1611639051
Arman',59.7,150.1667,-21.08,81,98,5.13,RU,1611639053
Mamakan,57.8161,114.0028,-25.13,82,100,1.43,RU,1611639054
Bethel,41.3712,-73.414,-2.22,60,99,1.08,US,1611639055
Charter Township of Clinton,42.587,-82.9199,-0.56,80,90,4.63,US,1611639056
Varhaug,58.6147,5.6457,-3.89,86,20,1.03,NO,1611639057
Ayan,56.45,138.1667,-25.31,86,8,1.53,RU,1611639058
Mayor Pablo Lagerenza,-19.9309,-60.7718,24.22,69,75,4.27,PY,1611639060
Hermanus,-34.4187,19.2345,18.33,88,27,2.25,ZA,1611639061
Torbay,47.6666,-52.7314,-0.56,100,90,4.63,CA,1611639062
Yellowknife,62.456,-114.3525,-27.78,69,40,6.69,CA,1611639063
Kruisfontein,-34.0033,24.7314,21.11,84,0,0.45,ZA,1611639064
Puerto Ayora,-0.7393,-90.3518,25.0,95,37,1.34,EC,1611639065
Rosita,13.9268,-84.4032,21.27,96,69,0.82,NI,1611639067
Beloha,-25.1667,45.05,29.47,56,47,4.5,MG,1611639068
Port Elizabeth,-33.918,25.5701,20.0,88,0,2.57,ZA,1611639069
Port Alfred,-33.5906,26.891,21.11,87,0,2.03,ZA,1611639070
Garchitorena,13.8804,123.6946,28.31,67,99,2.86,PH,1611639071
